,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,temperature_brooklyn,feels_like_brooklyn,snowfall_brooklyn,rain_brooklyn,humidity_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn
3504,2025-02-16,71,80,-3.5,-7.3,0.0,0.07,7.283263888888888,10.012063888888887,Sunday,Light Snow,63,4.2,0.6,0.0,32.6,94,0.0,10.737758333333334,2025-02,2025,2,winter,Sunday,Rain,False,False,True,0.7274488027360326,0.0,False,False
3510,2025-02-22,3,73,3.9,-0.1,0.0,0.0,9.151755555555557,10.40750277777778,Saturday,Cloudy,3,-2.2,-6.8,0.0,0.0,56,9.88721111111111,10.994119444444443,2025-02,2025,2,winter,Saturday,Cloudy,False,False,True,0.8793421199076199,0.8993181455843945,True,True
3511,2025-02-23,3,87,6.3,3.6,0.0,0.0,3.263413888888889,10.47496388888889,Sunday,Cloudy,3,2.6,-1.5,0.0,0.0,55,9.552197222222222,11.037997222222222,2025-02,2025,2,winter,Sunday,Cloudy,False,False,True,0.3115441660233779,0.8653922473355297,False,True
3517,2025-03-01,51,88,3.4,0.1,0.2,0.0,1.9110527777777775,10.884027777777778,Saturday,Light Drizzle,3,7.5,2.5,0.0,0.0,50,9.288725,11.304816666666666,2025-03,2025,3,spring,Saturday,Cloudy,False,False,True,0.1755832323103426,0.8216608259901016,False,True
3518,2025-03-02,3,85,3.5,0.1,0.0,0.0,3.145825,10.952444444444446,Sunday,Cloudy,3,-3.2,-9.1,0.0,0.0,39,10.362733333333331,11.34955,2025-03,2025,3,spring,Sunday,Cloudy,False,False,True,0.28722583492269604,0.9130523530301493,False,True
3524,2025-03-08,3,63,8.7,5.5,0.0,0.0,10.250405555555556,11.36003611111111,Saturday,Cloudy,3,3.9,-1.1,0.0,0.0,47,9.545788888888888,11.616563888888887,2025-03,2025,3,spring,Saturday,Cloudy,False,False,True,0.902321564412085,0.8217394558488442,True,True
3525,2025-03-09,3,72,8.3,5.9,0.0,0.0,10.320155555555557,11.427713888888889,Sunday,Cloudy,51,4.1,-0.6,0.0,0.1,50,10.65962777777778,11.661069444444443,2025-03,2025,3,spring,Sunday,Light Drizzle,False,False,True,0.9030813735711213,0.9141209413563891,True,True
3531,2025-03-15,51,85,3.9,0.6,0.6,0.0,3.77225,11.839894444444443,Saturday,Light Drizzle,51,6.4,3.9,0.0,0.6,93,1.2759416666666668,11.932288888888888,2025-03,2025,3,spring,Saturday,Light Drizzle,False,False,True,0.3186050363624676,0.10693184505906478,False,False
3532,2025-03-16,51,77,3.4,-0.0,0.2,0.0,9.66207222222222,11.909213888888887,Sunday,Light Drizzle,65,11.4,8.8,0.0,13.8,95,0.1530222222222222,11.977913888888889,2025-03,2025,3,spring,Sunday,Heavy Rain,False,False,True,0.811310663522198,0.012775365029479024,True,False
3538,2025-03-22,0,60,8.5,3.9,0.0,0.0,11.14873888888889,12.325144444444444,Saturday,Sunny,51,8.5,4.8,0.0,0.1,57,10.73181111111111,12.251544444444445,2025-03,2025,3,spring,Saturday,Light Drizzle,False,True,True,0.904552391993603,0.875955775190248,True,True
