,day,sunny_flag_brooklyn,weather_description_brooklyn,sunny_flag_berlin,weather_description_berlin
3564,2025-04-17,False,Heavy Snow,False,Cloudy
3565,2025-04-18,False,Heavy Snow,False,Heavy Drizzle
3566,2025-04-19,False,Snow,False,Light Rain
3567,2025-04-20,False,Snow,False,Cloudy
3568,2025-04-21,False,Snow,False,Light Drizzle
3569,2025-04-22,False,Light Snow,False,Rain
3570,2025-04-23,False,Light Snow,False,Heavy Drizzle
3571,2025-04-24,False,Snow,False,Cloudy
3572,2025-04-25,False,Cloudy,False,Cloudy
3573,2025-04-26,False,Light Snow,False,Mainly Sunny
3574,2025-04-27,False,Partly Cloudy,True,Sunny
3575,2025-04-28,False,Cloudy,False,Cloudy
3576,2025-04-29,False,Cloudy,False,Cloudy
3577,2025-04-30,False,Cloudy,False,Cloudy
3578,2025-05-01,False,Heavy Drizzle,False,Cloudy
3579,2025-05-02,False,Snow,False,Light Drizzle
3580,2025-05-03,True,Sunny,False,Light Drizzle
3581,2025-05-04,False,Partly Cloudy,False,Light Drizzle
3582,2025-05-05,False,Cloudy,False,Cloudy
3583,2025-05-06,False,Cloudy,False,Cloudy
3584,2025-05-07,False,Cloudy,False,Cloudy
3585,2025-05-08,False,Light Drizzle,False,Cloudy
3586,2025-05-09,False,Heavy Snow,False,Cloudy
3587,2025-05-10,False,Snow,False,Light Drizzle
3588,2025-05-11,False,Light Drizzle,False,Partly Cloudy
3589,2025-05-12,False,Light Drizzle,False,Cloudy
3590,2025-05-13,False,Light Drizzle,False,Cloudy
3591,2025-05-14,False,Light Drizzle,False,Cloudy
3592,2025-05-15,False,Light Drizzle,False,Light Drizzle
3593,2025-05-16,False,Cloudy,False,Light Drizzle
3594,2025-05-17,False,Light Drizzle,False,Drizzle
3595,2025-05-18,False,Rain,False,Heavy Drizzle
3596,2025-05-19,False,Light Drizzle,False,Drizzle
3597,2025-05-20,False,Drizzle,False,Cloudy
3598,2025-05-21,False,Mainly Sunny,False,Cloudy
3599,2025-05-22,False,Heavy Drizzle,False,Light Drizzle
3600,2025-05-23,False,Heavy Snow,False,Light Rain
3601,2025-05-24,False,Light Snow,False,Light Drizzle
3602,2025-05-25,False,Snow,False,Drizzle
3603,2025-05-26,False,Light Snow,False,Light Drizzle
3604,2025-05-27,False,Snow,False,Cloudy
3605,2025-05-28,False,Snow,False,Drizzle
3606,2025-05-29,False,Snow,False,Cloudy
3607,2025-05-30,False,Heavy Snow,False,Heavy Drizzle
3608,2025-05-31,False,Light Snow,False,Drizzle
3609,2025-06-01,False,Light Snow,False,Heavy Drizzle
3610,2025-06-02,False,Snow,False,Light Drizzle
3611,2025-06-03,False,Heavy Snow,False,Cloudy
3612,2025-06-04,False,Drizzle,False,Light Rain
3613,2025-06-05,False,Cloudy,False,Light Drizzle
3614,2025-06-06,False,Light Drizzle,False,Drizzle
3615,2025-06-07,False,Light Drizzle,False,Rain
3616,2025-06-08,False,Light Drizzle,False,Rain
3617,2025-06-09,False,Light Rain,False,Heavy Drizzle
3618,2025-06-10,False,Light Rain,False,Light Rain
3619,2025-06-11,False,Light Drizzle,False,Light Drizzle
3620,2025-06-12,False,Rain,False,Mainly Sunny
3621,2025-06-13,False,Drizzle,False,Cloudy
3622,2025-06-14,False,Drizzle,True,Sunny
3623,2025-06-15,False,Rain,False,Drizzle
